Autism: Staphylococcus, Alistipes, Eubacterium, Pseudomonas, Neisseria, Escherichia, Acinetobacter, Corynebacterium, Rothia, Actinomyces, Collinsella, Coriobacteriaceae, Desulfovibrio, Lachnospira, Akkermansia, Escherichia coli, Clostridium, Granulicatella, Gemella, Proteobacteria
Multiple Sclerosis: Bacteroides, Faecalibacterium, Lactobacillus, Streptococcus, Veillonella, Bifidobacterium, Blautia, Fusobacterium, Roseburia, Enterococcus, Parabacteroides, Prevotella, Ruminococcus, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Crohn's Disease: Actinobacteria, Lactococcus, Oscillibacter, Fusobacterium nucleatum, Propionibacterium acnes, Escherichia coli, Escherichia, Desulfovibrio, Parvimonas, Enterobacter, Prevotella copri, Coriobacteriaceae, Prevotella melaninogenica, Proteobacteria, Eggerthella, Anaerotruncus, Bacteroides fragilis, Oscillospira, Bifidobacterium longum, Sphingomonas
Ulcerative Colitis: Escherichia, Desulfovibrio, Escherichia coli, Coriobacteriaceae, Eubacterium, Lactococcus, Proteobacteria, Prevotella copri, Actinobacteria, Granulicatella, Akkermansia, Oscillibacter, Rothia, Parvimonas, Collinsella, Haemophilus parainfluenzae, Lachnospira, Alistipes, Eggerthella, Staphylococcus
Irritable Bowel Syndrome: Roseburia, Actinomyces, Ruminococcus, Haemophilus, Acinetobacter, Blautia, Corynebacterium, Staphylococcus, Parabacteroides, Pseudomonas, Fusobacterium, Enterococcus, Neisseria, Enterobacteriaceae, Alistipes, Bifidobacterium, Clostridium, Lachnospiraceae, Rothia, Faecalibacterium
Cirrhosis: Staphylococcus, Pseudomonas, Actinomyces, Acinetobacter, Corynebacterium, Neisseria, Alistipes, Rothia, Haemophilus, Eubacterium, Roseburia, Ruminococcus, Lachnospira, Clostridium, Collinsella, Enterobacteriaceae, Akkermansia, Escherichia, Blautia, Parabacteroides
Type 2 Diabetes: Lactococcus, Actinobacteria, Escherichia, Oscillibacter, Escherichia coli, Desulfovibrio, Fusobacterium nucleatum, Propionibacterium acnes, Parvimonas, Coriobacteriaceae, Prevotella copri, Proteobacteria, Enterobacter, Prevotella melaninogenica, Eggerthella, Bacteroides fragilis, Oscillospira, Anaerotruncus, Eubacterium, Odoribacter
Obesity: Lactococcus, Escherichia, Desulfovibrio, Escherichia coli, Actinobacteria, Oscillibacter, Coriobacteriaceae, Proteobacteria, Parvimonas, Prevotella copri, Fusobacterium nucleatum, Eubacterium, Propionibacterium acnes, Eggerthella, Prevotella melaninogenica, Granulicatella, Enterobacter, Haemophilus parainfluenzae, Odoribacter, Akkermansia
Pouchitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Short Bowel Syndrome: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Acquired Immunodeficiency Syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Laryngeal carcinoma: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Psoriasis: Staphylococcus, Alistipes, Pseudomonas, Neisseria, Eubacterium, Acinetobacter, Corynebacterium, Escherichia, Rothia, Actinomyces, Collinsella, Lachnospira, Coriobacteriaceae, Akkermansia, Desulfovibrio, Escherichia coli, Clostridium, Granulicatella, Haemophilus, Gemella
Cystic Fibrosis: Staphylococcus, Alistipes, Eubacterium, Pseudomonas, Acinetobacter, Neisseria, Corynebacterium, Escherichia, Rothia, Actinomyces, Collinsella, Lachnospira, Coriobacteriaceae, Akkermansia, Desulfovibrio, Escherichia coli, Clostridium, Granulicatella, Gemella, Haemophilus
Chronic Obstructive Pulmonary Disease: Roseburia, Ruminococcus, Blautia, Parabacteroides, Fusobacterium, Enterococcus, Bifidobacterium, Haemophilus, Lachnospiraceae, Faecalibacterium, Actinomyces, Enterobacteriaceae, Acinetobacter, Veillonella, Corynebacterium, Clostridium, Staphylococcus, Pseudomonas, Coprococcus, Bacteroides
Chronic Rhinosinusitis: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Acinetobacter
Colorectal cancer: Lactococcus, Actinobacteria, Oscillibacter, Escherichia coli, Fusobacterium nucleatum, Escherichia, Desulfovibrio, Propionibacterium acnes, Parvimonas, Coriobacteriaceae, Prevotella copri, Enterobacter, Proteobacteria, Prevotella melaninogenica, Eggerthella, Anaerotruncus, Bacteroides fragilis, Oscillospira, Bifidobacterium longum, Sphingomonas
Inflammatory Bowel Disease: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Major depressive disorder: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Bipolar disorder: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic fatigue syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Parkinson's Disease: Lactococcus, Actinobacteria, Escherichia, Escherichia coli, Oscillibacter, Desulfovibrio, Fusobacterium nucleatum, Propionibacterium acnes, Parvimonas, Coriobacteriaceae, Prevotella copri, Proteobacteria, Prevotella melaninogenica, Enterobacter, Eggerthella, Bacteroides fragilis, Oscillospira, Anaerotruncus, Eubacterium, Odoribacter
Alzheimer's Disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cirrhosis.1: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Infective colitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Esophageal cancer: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Aggressive periodontitis: Roseburia, Ruminococcus, Actinomyces, Haemophilus, Blautia, Acinetobacter, Corynebacterium, Parabacteroides, Staphylococcus, Fusobacterium, Pseudomonas, Enterococcus, Enterobacteriaceae, Neisseria, Bifidobacterium, Alistipes, Lachnospiraceae, Clostridium, Faecalibacterium, Rothia
Acute skin abscess: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Atherosclerosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Type 1 Diabetes: Bacteroides, Faecalibacterium, Bifidobacterium, Veillonella, Lactobacillus, Streptococcus, Fusobacterium, Blautia, Roseburia, Enterococcus, Ruminococcus, Parabacteroides, Prevotella, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Caries: Lactococcus, Actinobacteria, Escherichia coli, Escherichia, Desulfovibrio, Oscillibacter, Fusobacterium nucleatum, Propionibacterium acnes, Parvimonas, Coriobacteriaceae, Proteobacteria, Prevotella copri, Prevotella melaninogenica, Enterobacter, Eggerthella, Eubacterium, Bacteroides fragilis, Odoribacter, Oscillospira, Anaerotruncus
Necrotizing enterocolitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Atopy: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Celiac Disease, Coaliac disease: Faecalibacterium, Bacteroides, Bifidobacterium, Veillonella, Blautia, Lactobacillus, Fusobacterium, Roseburia, Enterococcus, Streptococcus, Parabacteroides, Ruminococcus, Prevotella, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Familial adenomatous polyposis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Allergy: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Coprococcus, Enterobacteriaceae, Ruminococcaceae, Actinomyces
Ankylosing spondylitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Atopic eczema: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
HIV infection: Staphylococcus, Acinetobacter, Actinomyces, Corynebacterium, Pseudomonas, Neisseria, Alistipes, Haemophilus, Roseburia, Ruminococcus, Rothia, Enterobacteriaceae, Clostridium, Blautia, Eubacterium, Collinsella, Parabacteroides, Lachnospira, Akkermansia, Fusobacterium
Systemic sclerosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Primary sclerosing cholangitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Preeclamsia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Pulmonary tubercolosis: Bacteroides, Faecalibacterium, Streptococcus, Lactobacillus, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Roseburia, Enterococcus, Prevotella, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Juvenile idiopathic arthritis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Behcet's Disease: Streptococcus, Bacteroides, Lactobacillus, Faecalibacterium, Prevotella, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Actinomyces, Dialister, Acinetobacter
Sjögren Syndrome: Faecalibacterium, Bifidobacterium, Blautia, Roseburia, Bacteroides, Fusobacterium, Veillonella, Enterococcus, Ruminococcus, Parabacteroides, Lactobacillus, Streptococcus, Lachnospiraceae, Haemophilus, Prevotella, Enterobacteriaceae, Actinomyces, Coprococcus, Dialister, Acinetobacter
Autoimmune hepatitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hepatitis B: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Aphthous ulcer: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Pancreatic cancer: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Tuberculosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Recurrent tonsillitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Atopic dermatitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
