,Autism,Multiple Sclerosis,Crohn's Disease,Ulcerative Colitis,Irritable Bowel Syndrome,Cirrhosis,Type 2 Diabetes,Obesity,Pouchitis,Short Bowel Syndrome,Acquired Immunodeficiency Syndrome,Psoriasis,Cystic Fibrosis,Chronic Obstructive Pulmonary Disease,Inflammatory Bowel Disease,Parkinson's Disease,Alzheimer's Disease,Atherosclerosis,Type 1 Diabetes,Caries,Allergy,Behcet's Disease,Sjögren Syndrome,Hepatitis B,Tuberculosis,Asthma,Rheumatoid Arthritis,Blepharitis,Polycystic Ovary Syndrome,Trachoma,Megaesophagus,Pneumonia,Hypertension,Viral Diarrhea,Spondyloarthritis,Transient Ischemic Attack,Denture Stomatitis,Coronary Heart Disease,Acne,Vitiligo,Appendicitis,Postmenopausal,Psoriatic Arthritis,Botulism,Idiopathic Pulmonary Fibrosis,Rett Syndrome,Gingivitis,Anorexia Nervosa,Pancreatitis,Ascites,Alcoholism,Gastroenteritis,Hepatitis C,Schizophrenia,Cervicitis,Smoking,Pregnancy,Hyperthyroidism,Otitis Media,Prediabetes,Chlamydia,Azoospermia,Hyperlipidemia,Oligoasthenoteratozoospermia,Attention Deficit Hyperactivity Disorder,Osteoarthritis,Bronchiectasis,Wilson's Disease,Bronchiolitis,Keratitis,Anovulation,Silicosis,Urolithiasis,Endometriosis,Urogenital Schistosomiasis,Cholestasis,Diarrhea,Pediculosis,Rosacea,Fibromyalgia,Sepsis,Intrahepatic Cholangiocarcinoma,Osteoporosis,Miscarriage,Huntington's Disease,Vestibulodynia,Hyperglycemia,Migraine,Traumatic Brain Injury,Vulvodynia,Fatigue,Sarcopenia
Autism,1.0000000000000002,0.42428426118582097,0.2961100461319911,0.34698895917974426,0.14596008983995234,0.14744195615489714,0.374275734854739,0.3673069030134304,0.0,0.1865009616480628,0.39207997663045,0.3730019232961256,0.3393283061236896,0.30034130177387264,0.17391304347826092,0.4731456329812744,0.4911021239461104,0.25021729686848976,0.4135691964591538,0.2608360150191667,0.3184261263204174,0.3969996166902104,0.42562826537937437,0.3422451353067596,0.35355339059327384,0.39265053994496407,0.37574222264715496,0.08512565307587487,0.2331262020600785,0.04914731871829904,0.29038160345625114,0.4055840966207891,0.42430736759133025,0.052128603514268686,0.27863910628767646,0.45183934110492463,0.052128603514268686,0.4126934954371133,0.040893041005476534,0.30669780754107406,0.25845390105845195,0.25275763912268084,0.20723908457632687,0.4306783846070546,0.2996023545092554,0.3096900521307503,0.18843366572035794,0.42761255709362983,0.3800477028585323,0.24148722544931958,0.4468681439054911,0.32423223344850904,0.3599353643503071,0.44710183400989595,0.0,0.408435089050835,0.370461853728656,0.4112169486803622,0.38724105467742465,0.10114434748483471,0.2222771122371936,0.10425720702853737,0.30788056550638204,0.23643312187173024,0.5109405634161496,0.3171957675647345,0.21815377450367388,0.40630225416447124,0.12038585308576923,0.3183275016660838,0.10147651372376075,0.29906687176753616,0.08846517369293828,0.2091340719285308,0.1318760946791574,0.31924883603722615,0.052128603514268686,0.21281413268968719,0.15717365336548286,0.28443878704718073,0.4300609789927167,0.09223131928520185,0.34675431257552786,0.2502586653563096,0.4892485961894069,0.0,0.360624485078549,0.3778710908032291,0.4297357503252409,0.0,0.2085144140570748,0.03940552031195504
Multiple Sclerosis,0.42428426118582085,1.0000000000000044,0.6407097870320763,0.5712331515032021,0.3970333335883721,0.24565184222025874,0.7018624063435989,0.666606953587892,0.15916743272318729,0.3662148283352421,0.7126268242184086,0.5844640694643267,0.6331943822062166,0.4740595546506044,0.3828906747286676,0.8138983737753073,0.7180308916556991,0.327552500210407,0.7555543342971425,0.39159664095852276,0.6608852814176402,0.6712127710336295,0.5510998109617138,0.5059022271657013,0.5561240279482103,0.6596892770667813,0.7522774042632668,0.22287124708010467,0.3218251521733946,0.18716330835829237,0.45788443731363043,0.6228021749834495,0.7261713769853163,0.19851666679418606,0.6234057781658184,0.6572114528034426,0.14888750009563953,0.6488899963089123,0.23359392871314266,0.44772169670019013,0.38802034101647775,0.42111744380615784,0.4274887200747887,0.4813377196083987,0.4724240581341691,0.42260569821229227,0.2947265020347543,0.6242347186216107,0.58150504488326,0.41560385211054457,0.7730591138782997,0.4716037710866707,0.530334008493238,0.7608751394682491,0.12407291674636628,0.5976793770922679,0.500832764233741,0.6821592987985804,0.5671904765548182,0.3129578650968728,0.34917213844465006,0.09925833339709303,0.5595897845152569,0.2438548038823419,0.6113395654615196,0.5324507981676524,0.35769495337482415,0.6303750805673796,0.3008608339071578,0.5080787040310876,0.17712010693022204,0.3915001193104884,0.21055872190307895,0.4901085873544208,0.20402356668666194,0.46391093764913643,0.19851666679418606,0.24313226954193237,0.29927513563105457,0.6057383073225621,0.6079572920571963,0.24879232829262,0.6140386495146563,0.33572913358494294,0.5822379293804544,0.17370208344491278,0.5810258188955886,0.7300871985660891,0.6630743639150947,0.17370208344491278,0.3598114585644622,0.20633868020813545
Crohn's Disease,0.29611004613199116,0.6407097870320735,0.9999999999999978,0.7250663099649249,0.47766794603224844,0.27386127875258304,0.6390096504226929,0.6467088396120173,0.20701966780270623,0.4763139720814416,0.6694072457077673,0.6254627916220941,0.6554853293164932,0.5382852012218114,0.5653009971610743,0.5725704143881547,0.5212466913156827,0.4131182235954581,0.6851252087933535,0.472058795249956,0.6624243127703364,0.635684534644509,0.36893239368631114,0.5576246709318382,0.6281442647921763,0.6006131836040709,0.7321214876365629,0.23717082451262847,0.41857894516247895,0.27386127875258304,0.5168865612218192,0.6480335690083336,0.6442535198266869,0.19364916731037082,0.6383106423916769,0.5595028849441877,0.12909944487358055,0.6658868340636982,0.2785033259480083,0.40509574683346694,0.5908391567007973,0.4825174911355038,0.45621275880976114,0.4869258405481771,0.4869258405481771,0.29400324572482545,0.3333333333333334,0.5912787768052485,0.6554853293164932,0.5750546327852952,0.654569200227956,0.5799296577691117,0.5942669039692123,0.6020797289396138,0.22592402852876595,0.5900490612964668,0.5504818825631801,0.6789347398332033,0.4979550016552392,0.37573457465108984,0.45414755311462407,0.0,0.6498440561375447,0.2683725200608466,0.4702400780390289,0.5581563056514379,0.37518764074229033,0.540383094562449,0.3354101966249686,0.4869258405481771,0.29319773580418684,0.4011887099014392,0.2738612787525831,0.6075745430783165,0.36742346141747684,0.5201564866102995,0.19364916731037082,0.21081851067789198,0.3308620512686473,0.5190527984320452,0.6374285090633032,0.38069349381344064,0.626892415247612,0.394405318873308,0.4070393145437301,0.09682458365518541,0.6097172805832939,0.5848870002233783,0.4403855060505444,0.09682458365518541,0.3550234734023467,0.2683725200608466
Ulcerative Colitis,0.3469889591797443,0.5712331515032,0.7250663099649245,0.9999999999999979,0.4576276618858143,0.2696596858150031,0.6260630467872788,0.618338626759364,0.2594372608313854,0.4341215710622298,0.6479430297720382,0.7131997238879477,0.6499423302067061,0.504620560237416,0.5783149319662405,0.5578263284983567,0.4821436570643767,0.4853626716970757,0.6541711367950566,0.46704044859817107,0.6861450744163423,0.6464168736471906,0.3396831102433788,0.59898498147845,0.6440653958362548,0.6528425520974894,0.6835279497440048,0.2547623326825341,0.480634596533183,0.2288021576612147,0.4828045495852678,0.6612947306423108,0.6248510114943766,0.2080125735844609,0.6300619191619352,0.5425717076765189,0.10400628679223045,0.6903256692366886,0.29916056127123175,0.4079462199153161,0.5553301796153426,0.47628204247844713,0.5053652107611436,0.4607753202827143,0.523042255456054,0.30207927000959944,0.30434882146675907,0.5782575029825129,0.6589693070151326,0.5188745216627709,0.608887518420497,0.59898498147845,0.5699509407344413,0.6095685592863028,0.2773500981126146,0.6036327274391498,0.6011676025889001,0.687855802036737,0.5249841142845916,0.3363363969981563,0.5617467761896288,0.06933752452815364,0.623586412504324,0.34069257193462354,0.49593489190018514,0.621761828358058,0.4352574691479339,0.5504405287049867,0.3602883460614462,0.5105888684213862,0.29244882593280097,0.4640954808922573,0.2353393621658209,0.6098437018280505,0.3508232077228118,0.5699124492412844,0.2080125735844609,0.2547623326825341,0.35540285425301366,0.5874210089134757,0.632704911319401,0.3475908485465507,0.6364923662817337,0.43878996118488195,0.3965577694562662,0.10400628679223045,0.5534716228536817,0.6356608256882627,0.443484296991812,0.10400628679223045,0.36402200377280675,0.23586408826243166
Irritable Bowel Syndrome,0.14596008983995232,0.397033333588372,0.477667946032248,0.4576276618858141,0.9999999999999994,0.10606601717798213,0.41338550284752007,0.4403855060505441,0.26726124191242434,0.31304951684997046,0.42165413290066034,0.37267799624996506,0.3905667329424718,0.3790490217894518,0.41702882811414954,0.4228827109661052,0.3701096217007493,0.36,0.4288450139351178,0.34641016151377546,0.4642438885539598,0.2757435090054174,0.14696938456699063,0.32827000172091686,0.29488391230979427,0.4320020449849348,0.445199109602671,0.12247448713915891,0.3801315561749642,0.1414213562373095,0.4177863742936749,0.4015717152884216,0.42636139313812793,0.15,0.3207134902949093,0.28892604740584615,0.15,0.419832100732847,0.19611613513818402,0.1568929081105472,0.4385927910529726,0.4444671196029728,0.2871219677946009,0.3053290134455173,0.2694079530401623,0.2574383611739352,0.23237900077244494,0.4374949932957845,0.42962340623671885,0.3028960741674142,0.3658958614425217,0.3628247387441713,0.3616777720717861,0.396681637889984,0.19999999999999998,0.3772476500572062,0.35533452725935083,0.382473154987006,0.3,0.3638034375544993,0.2771609312622935,0.0,0.42953987533697563,0.264575131106459,0.38411438354886285,0.48038446141526153,0.25574480523640236,0.2742413778650723,0.17320508075688773,0.21552636243212983,0.324442842261525,0.2151411496801908,0.31112698372208086,0.47834038488248504,0.31622776601683783,0.3545621041711674,0.15,0.2449489742783178,0.2713602101199872,0.5169298742047714,0.3375000000000001,0.3243723035407736,0.3991140631426437,0.34914862437758776,0.2932942300427066,0.29999999999999993,0.4257216673521532,0.44772150434678176,0.3695479083497249,0.29999999999999993,0.19999999999999993,0.264575131106459
Cirrhosis,0.14744195615489714,0.24565184222025876,0.27386127875258304,0.26965968581500305,0.10606601717798213,1.0,0.25,0.25301215685249495,0.1889822365046136,0.3557562367689427,0.2618924633082486,0.2898754521821014,0.27617238536949706,0.21442250696755896,0.29488391230979427,0.1823312393723682,0.17843660678658244,0.17677669529663687,0.227429413073671,0.2041241452319315,0.25916052767440806,0.20890725544918334,0.11547005383792514,0.27488124980168677,0.2345787158142091,0.2349781349963872,0.24359779892365496,0.14433756729740646,0.23717082451262844,0.08333333333333333,0.12309149097933272,0.26620695282483414,0.27407548393101266,0.17677669529663687,0.1889822365046136,0.2553769592276246,0.17677669529663687,0.3180708486299891,0.2773500981126146,0.20801257358446093,0.13483997249264842,0.21428571428571427,0.1952172023607576,0.2222502222503334,0.31750031750047625,0.1750350105035012,0.13693063937629152,0.1933472978091327,0.3452154817118713,0.2519763153394848,0.2587274448341005,0.27488124980168677,0.29061909685954823,0.227429413073671,0.0,0.20519567041703082,0.251259453814803,0.2958039891549808,0.17677669529663687,0.21437323142813602,0.18844459036110228,0.17677669529663687,0.2847473987257497,0.2004459314343183,0.1873171623163388,0.254762332682534,0.1643989873053573,0.3061862178478973,0.15309310892394865,0.2222502222503334,0.1720618004029213,0.3380617018914066,0.2,0.2727723627949905,0.11180339887498948,0.25641129703418536,0.17677669529663687,0.07216878364870323,0.053300179088902604,0.20306923302672383,0.35355339059327373,0.20851441405707477,0.2351802170958993,0.1543033499620919,0.20739033894608505,0.0,0.25869823880548926,0.2072890493972125,0.20100756305184242,0.0,0.08838834764831843,0.2672612419124244
Type 2 Diabetes,0.3742757348547389,0.7018624063435952,0.6390096504226931,0.6260630467872793,0.41338550284752024,0.24999999999999994,0.9999999999999979,0.7665220373282674,0.20351933162035313,0.437853829869468,0.7128433912532199,0.6162387235199915,0.6160768596704159,0.5772913649126586,0.44232586846469163,0.6900536136246539,0.6405416653877309,0.47865689803397093,0.7755926138153382,0.46058781488230727,0.6778044569946048,0.6642179404025309,0.43523327985064125,0.5168707261228301,0.5934641015470588,0.6748090030665469,0.7552973173727513,0.22205779584216376,0.4500164362547311,0.17948717948717952,0.49236596391733134,0.6484528338040825,0.7695196279601494,0.21757131728816848,0.5960208997453194,0.6089758258504887,0.16317848796612636,0.6785511437439758,0.2560154751808749,0.416025147168922,0.4771260565124486,0.4615384615384618,0.4685212856658184,0.42984658369295276,0.42984658369295276,0.3662270988996334,0.30897169910547817,0.6023511970207591,0.6231582028850183,0.4554956469598382,0.7164760010790463,0.4792801278593517,0.5722960676618796,0.682288239221012,0.16317848796612636,0.6076948700812064,0.5489052683338772,0.6761234037828123,0.5361578890315578,0.36938156799924965,0.4290738365145099,0.10878565864408424,0.6790130277306332,0.24670268484223787,0.5763604994348882,0.5661385170722978,0.35409012650384636,0.526012220405362,0.26693157453406424,0.46892354584685764,0.2823578263022298,0.41607594078942356,0.2923076923076922,0.545544725589981,0.258007843557668,0.5172056931629724,0.21757131728816848,0.2664693550105965,0.29520099187699894,0.5857766337309338,0.5847229152119522,0.3047518359295707,0.6440319791241544,0.3679541422172961,0.49454619287143364,0.10878565864408424,0.6367956647519729,0.684198820388001,0.5411742082164986,0.10878565864408424,0.35355339059327356,0.26726124191242434
Obesity,0.36730690301343033,0.6666069535878899,0.6467088396120183,0.6183386267593651,0.4403855060505443,0.25301215685249495,0.7665220373282688,1.0,0.1765469659009499,0.406201920231798,0.6461522964751134,0.5908391567007971,0.6593330586112829,0.6092860877672969,0.4361769473284485,0.6756566641338806,0.6173898221471968,0.4403855060505443,0.7377231581213656,0.4343551795452143,0.6725206572095661,0.5927108612968625,0.44047724347598477,0.5040765522329728,0.5356832289134414,0.7073302226501609,0.7002115541986573,0.20225995873897265,0.4677476657214644,0.18164975363768868,0.469550319237123,0.6700819225050402,0.7841254701136304,0.19266865889711307,0.5811337627572934,0.6163131486778467,0.1651445647689541,0.706536179239724,0.2806917861068948,0.3778543274515892,0.4513829377300711,0.4782207799849355,0.41337576970244394,0.4449125915011244,0.47457343093453264,0.4142442954395614,0.2984810028978546,0.6698169690439755,0.6449997312501681,0.4904082386137497,0.7078440640960451,0.5135874305769912,0.5339421177376674,0.6669017349417145,0.19266865889711307,0.5990422978731538,0.5711672409558413,0.7040083136069527,0.4797056405193428,0.4005344023759145,0.42250727413171824,0.11009637651263605,0.7019725726589984,0.2704813730373557,0.5687222310377492,0.5729597091269405,0.3839533141153328,0.4846768161998428,0.2860387767736777,0.4350256450233216,0.32147983186609186,0.4210890847742521,0.32696955654783966,0.5521177907240944,0.26111648393354675,0.5677964060791466,0.19266865889711307,0.2247332874877474,0.29875775863918147,0.5375032239101822,0.6399351884796971,0.2921908521346044,0.6737621865643542,0.4444624815964758,0.4682141637066,0.1651445647689541,0.6298211743971137,0.6278927546124146,0.5242219882745393,0.1651445647689541,0.30276503540974914,0.2704813730373557
Pouchitis,0.0,0.1591674327231873,0.20701966780270625,0.25943726083138546,0.2672612419124244,0.1889822365046136,0.20351933162035316,0.1765469659009499,1.0,0.23904572186687872,0.21320071635561044,0.27888667551135854,0.20876670019176632,0.20261022461827694,0.3343669275452117,0.19296124624698996,0.14987266233254518,0.21380899352993948,0.17192047651837583,0.20573779994945587,0.19590694453450178,0.1754656015858991,0.0,0.23087854826980506,0.2364331218717302,0.20723123624606796,0.19830744488452573,0.1091089451179962,0.2988071523335984,0.1259881576697424,0.23262105259961768,0.20123354127166132,0.1553861937731012,0.26726124191242434,0.21428571428571427,0.1608723630219467,0.13363062095621217,0.2244096972731255,0.31448545101657543,0.20965696734438366,0.2548235957188128,0.32396954829362334,0.2361125344403821,0.1440046082211958,0.24000768036865966,0.10585122480499261,0.13801311186847082,0.1826960238104674,0.17397225015980528,0.23809523809523805,0.16763962686813377,0.2770542579237661,0.2636248650982481,0.17192047651837583,0.0,0.15511334686589626,0.15194743527951726,0.19166296949998196,0.11454053224818185,0.2592814894208657,0.2279211529192759,0.0,0.21524880100025257,0.20203050891044214,0.17699808135119718,0.299572344757639,0.12427395320024,0.11572751247156893,0.07715167498104596,0.09600307214746386,0.3468439878096479,0.19166296949998193,0.30237157840738177,0.2886751345948129,0.1690308509457033,0.215365246126974,0.26726124191242434,0.2182178902359924,0.08058229640253801,0.26863534475866774,0.20044593143431827,0.31524416249564025,0.24889134708717228,0.3499271061118826,0.11757927025044305,0.0,0.17777953363369448,0.19943100880436643,0.07597371763975863,0.0,0.06681531047810609,0.3030457633656632
Short Bowel Syndrome,0.18650096164806276,0.3662148283352419,0.47631397208144094,0.43412157106222954,0.31304951684997057,0.3557562367689427,0.43785382986946764,0.4062019202317978,0.23904572186687872,0.9999999999999991,0.39497657336415964,0.46666666666666656,0.4657780077916654,0.45769286494404693,0.4662524041201569,0.33441756291047076,0.3636381503672513,0.31304951684997057,0.44350355387397994,0.36578176047514493,0.42342773264881844,0.3670126371966897,0.18257418583505536,0.4249670751074407,0.42859730770726157,0.3715330534635523,0.40293864366898036,0.1825741858350554,0.42500000000000004,0.21081851067789195,0.3113995776646092,0.434940488281393,0.4008500357661312,0.2795084971874737,0.373508940416998,0.36340778388926165,0.11180339887498948,0.3889202910697195,0.2631174057921088,0.24119095530943307,0.447721504346782,0.3388154635894692,0.32101211891111664,0.381529181228687,0.32128773156099955,0.2878248378005309,0.25980762113533157,0.44327793437391355,0.43666688230468637,0.5179323973782372,0.4090840094356611,0.4829171308039099,0.4411287732562847,0.40754380626257625,0.1677050983124842,0.4217756949399826,0.3972760788523302,0.44098104915549996,0.33541019662496846,0.32539568672798425,0.2860387767736777,0.11180339887498948,0.450225168890748,0.21128856368212917,0.2665569949915916,0.35805743701971643,0.25993762245501817,0.38729833462074176,0.19364916731037088,0.2811267651158746,0.3990119375605064,0.2939873661036668,0.18973665961010278,0.3450327796711771,0.24748737341529162,0.4504687313477795,0.2795084971874737,0.22821773229381925,0.2359699518621347,0.27291855210387267,0.44721359549995765,0.32969023669789355,0.371852573317956,0.34156502553198664,0.31151727199737766,0.0,0.4908453967797016,0.3217936238703874,0.2860387767736777,0.0,0.0838525491562421,0.253546276418555
