,Ulcerative Colitis,Mouth Neoplasms,Crohn Disease,Irritable Bowel Syndrome,Celiac Disease,Colorectal Neoplasms,Atherosclerosis,Peripheral Arterial Disease,Diarrhea,Coronary Artery Disease,Pancreatic Neoplasms,Gastroesophageal Reflux,Laryngeal Neoplasms,Inflammatory Bowel Diseases,Breast Neoplasms,Parkinson Disease,Esophageal Neoplasms,Uterine Cervical Neoplasms,Thrombosis,Head and Neck Neoplasms,Liver Neoplasms,Amyotrophic Lateral Sclerosis,Endometrial Neoplasms,Lung Neoplasms,Rectal Neoplasms,Hypertension,Gastroenteritis,Prostatic Neoplasms,Coronary Heart Disease,Stomach Neoplasms,Alzheimer Disease,Tongue Neoplasms,Urinary Bladder Neoplasms,Thyroid Neoplasms,Ovarian Neoplasms,Pharyngeal Neoplasms,Biliary Tract Neoplasms,Acute Lymphoblastic Leukemia,Gallbladder Neoplasms
Ulcerative Colitis,0.9999999999999979,0.3981954013762902,0.7250663099649245,0.4576276618858143,0.6918395285671017,0.628416986556232,0.4853626716970757,0.5904725671562584,0.2080125735844609,0.6793662204867562,0.6139406135149197,0.5442470958061204,0.4249729481848973,0.5783149319662405,0.6616048997131823,0.5578263284983567,0.5810872031479762,0.6350330021416853,0.6667580818412076,0.6076053350458485,0.6485931520784626,0.48137596806645144,0.4853626716970757,0.6614378277661463,0.5921369082129386,0.6248510114943766,0.59898498147845,0.6100702755324006,0.6903256692366886,0.6499423302067061,0.4821436570643767,0.3800584750330462,0.6167284823802289,0.5694162843474585,0.6499423302067061,0.48568209435205023,0.3599370165326781,0.09805806756909202,0.515860704175329
Mouth Neoplasms,0.3981954013762902,1.0000000000000007,0.42183074386605396,0.27724131203346875,0.40835453595439686,0.4154566800146476,0.21783245945486832,0.3287056215231421,0.19802950859533483,0.41577535720514247,0.4133080321161989,0.44787271685320945,0.5057217374241738,0.350982059081517,0.4670818205522205,0.40850368510283375,0.5106455218585035,0.41499190944441716,0.412975491301019,0.5658698866813394,0.4763305116224671,0.4328138441541124,0.3564531154716028,0.47746006149315967,0.4982870795835377,0.40297156375238297,0.359250023598695,0.5050360127190472,0.4275727436606033,0.4898436752557929,0.32204335891550545,0.5427277189404631,0.41795700381857265,0.5082079821805378,0.4898436752557929,0.5868579700744028,0.35337091141177945,0.14002800840280097,0.3683274044129046
Crohn Disease,0.7250663099649249,0.421830743866054,0.999999999999999,0.4776679460322483,0.6955929539048847,0.5633568070226714,0.413118223595458,0.605601743906193,0.19364916731037082,0.6625724621305169,0.6695271963607349,0.55819187659034,0.42859730770726184,0.5653009971610743,0.705886578756789,0.5725704143881551,0.5825752650035354,0.6312637926442592,0.6506321139100084,0.5984410751528567,0.6210590034081184,0.5145272509897015,0.4647580015448903,0.703731550548996,0.5610932020576875,0.6442535198266874,0.5799296577691119,0.6584863977663927,0.6658868340636985,0.6722926454528139,0.5212466913156834,0.3810317377662724,0.5936054449231611,0.6342240482425555,0.6470816712483333,0.47533236815417285,0.33508312663335643,0.09128709291752768,0.48024018015013165
Irritable Bowel Syndrome,0.4576276618858141,0.2772413120334687,0.47766794603224816,0.9999999999999998,0.4523292715616628,0.48672518781207985,0.35999999999999993,0.37527767497325687,0.15,0.4199125273342592,0.4174206511422262,0.47893687577117244,0.3405026123034994,0.41702882811414954,0.4074027632383621,0.4228827109661053,0.3545621041711674,0.3880752628531665,0.3475706678180955,0.34290034290051447,0.3073504281992881,0.2956991994052836,0.44,0.3564168444854523,0.3507467117649908,0.4263613931381281,0.3628247387441713,0.40804909636053666,0.4198321007328471,0.41660451513863656,0.37010962170074935,0.2529822128134703,0.33166247903554,0.32262365304697727,0.40358562404055415,0.2873684832428398,0.35688712648767745,0.0,0.3952419717289855
Celiac Disease,0.6918395285671016,0.40835453595439675,0.6955929539048844,0.45232927156166286,0.9999999999999987,0.6028723469220372,0.43902546945690807,0.54726795300783,0.2660760420950957,0.5974379912529245,0.6058125531528061,0.5663716814159291,0.4416729885981855,0.5548069001208447,0.6632375443841697,0.5831775262418274,0.578907499222472,0.5988936738549094,0.6011214796690219,0.5913545949112404,0.6044504143545607,0.5644325210301583,0.46563307366641765,0.6554701788066876,0.5173467542455653,0.6187884653909678,0.6091149326594665,0.6022358036208216,0.5984317698614214,0.6668228905501303,0.5222281234728328,0.4207031619116714,0.611715207241667,0.6047989012179619,0.6754829280897424,0.44204517809885163,0.3668874862588778,0.09407208683835973,0.49489138591769516
Colorectal Neoplasms,0.6284169865562319,0.4154566800146475,0.5633568070226709,0.4867251878120798,0.602872346922037,0.9999999999999989,0.4363743063142784,0.5087266622670846,0.2517544074890067,0.5677277881428114,0.5838193816777023,0.4912293197142526,0.38575365034016923,0.5599405094811337,0.6117938601978186,0.4327747412057588,0.5274606554080364,0.6383044313568307,0.5250146852226175,0.46893501195143616,0.5943437278215395,0.39919019411975076,0.6042105779736163,0.5806027214870002,0.5886802039940843,0.5448234934606322,0.5074595951382918,0.5992475911372498,0.5737705867235409,0.6118118000515048,0.432942374928648,0.44228741036189617,0.556649939306183,0.5291731582478132,0.6336622214819156,0.3918756954115018,0.4628528545997306,0.11867816581938533,0.4877642568991055
Atherosclerosis,0.48536267169707553,0.21783245945486826,0.4131182235954579,0.35999999999999993,0.43902546945690807,0.43637430631427837,0.9999999999999999,0.4763139720814415,0.19999999999999998,0.5248906591678238,0.39212242986087914,0.42572166735215333,0.2553769592276245,0.3127716210856121,0.45028726463187385,0.3609974361905778,0.45126085985421316,0.35702924182491313,0.45184186816352406,0.3683003683005525,0.42761798705987913,0.32141217326661253,0.38,0.45076247979042483,0.36599656879825126,0.4651215197870488,0.3109926332092896,0.4208006306218034,0.5157937237574977,0.3775478418443894,0.39254050786443107,0.2740640638812595,0.37688918072220456,0.395947210557654,0.41660451513863656,0.34125007385087225,0.25955427380921997,0.1414213562373095,0.2789943329851662
Peripheral Arterial Disease,0.590472567156259,0.3287056215231419,0.605601743906193,0.37527767497325676,0.5472679530078302,0.5087266622670847,0.47631397208144133,1.0000000000000002,0.21650635094610965,0.5892556509887897,0.5477225575051662,0.4800596079016054,0.36860489038724287,0.4363987174359134,0.6112471548327958,0.5136112757262944,0.5466594736091017,0.5377328579378651,0.6103713066577193,0.4949340131970674,0.5593496436125832,0.4731968821285686,0.44744645862196003,0.6052275326688025,0.4952536348081634,0.5524610608786538,0.4488792012484349,0.5613602575471367,0.5886618569047772,0.5355477949520157,0.5099250777375638,0.36514837167011077,0.5113531143698624,0.5503338836674923,0.6107123977522986,0.3629330931556489,0.2809757434745082,0.10206207261596577,0.3691358303677134
Diarrhea,0.2080125735844609,0.19802950859533483,0.19364916731037082,0.15,0.2660760420950957,0.2517544074890067,0.19999999999999998,0.21650635094610968,0.9999999999999998,0.20412414523193148,0.25298221281347033,0.19955703157132176,0.25537695922762454,0.26064301757134345,0.21442250696755893,0.20628424925175867,0.24174688920761406,0.23284515771189984,0.17378533390904768,0.22225022225033333,0.26726124191242434,0.1928473039599675,0.3,0.18344984642633566,0.19062321291575582,0.19380063324460367,0.259160527674408,0.19127301391900148,0.17992804317122013,0.22783059421644175,0.2243088616368177,0.21081851067789195,0.2638224265055431,0.29329423004270655,0.2603778219616477,0.22450662753346862,0.24333213169614376,0.35355339059327373,0.23249527748763854
Coronary Artery Disease,0.6793662204867564,0.41577535720514197,0.6625724621305167,0.41991252733425904,0.5974379912529245,0.5677277881428113,0.5248906591678237,0.5892556509887891,0.2041241452319315,0.9999999999999987,0.6418086688000856,0.5974379912529246,0.5163214062365659,0.4742714957084453,0.719059037088956,0.6255985699351279,0.5921565254637914,0.615617843366635,0.6621772777765623,0.6295778146577574,0.6702406628676901,0.5398599919695197,0.4665694748158432,0.7397602799117201,0.5336338340268768,0.7798850896702455,0.5340473948643669,0.5949476643375462,0.9724084693648624,0.6302000326653837,0.5886881312086669,0.39344592723376925,0.54511946005133,0.5815790732295562,0.6529783470990723,0.5237396965048328,0.3216721438586535,0.08247860988423225,0.46101959793692787
