Disease,colon cancer,obesity,bacterial vaginosis,ulcerative colitis,atopic dermatitis,asthma,cystic fibrosis,psoriasis,colorectal carcinoma,liver cirrhosis,allergic asthma,multiple sclerosis,crohn's disease,irritable bowel syndrome,short bowel syndrome,acquired immunodeficiency syndrome,laryngeal carcinoma,chronic obstructive pulmonary disease,colorectal cancer,major depressive disorder,bipolar disorder,chronic fatigue syndrome,parkinson's disease,alzheimer's disease,atherosclerosis,aggressive periodontitis,esophageal cancer,ankylosing spondylitis,primary sclerosing cholangitis,behcet's disease,autoimmune hepatitis,hepatitis b,pancreatic cancer,tuberculosis,cervical cancer,rheumatoid arthritis,periodontal disease,blepharitis,coronary artery disease,polycystic ovary syndrome,trachoma,gestational diabetes,megaesophagus,pneumonia,hypertension,macular degeneration,systemic lupus erythematosus,denture stomatitis,osmotic diarrhea,endometrial cancer,acne,vitiligo,appendicitis,constipation,aphthous stomatitis,psoriatic arthritis,botulism,idiopathic pulmonary fibrosis,rett syndrome,gingivitis,eosinophilic esophagitis,chronic kidney disease,periodontitis,anorexia nervosa,kawasaki disease,pancreatitis,hepatic encephalopathy,gastroenteritis,primary biliary cholangitis,hepatitis c,schizophrenia,atrophic gastritis,cervicitis,hyperthyroidism,bullous pemphigoid,otitis media,chlamydia,alcoholic hepatitis,neuromyelitis optica,azoospermia,reactive arthritis,oligoasthenoteratozoospermia,budd-chiari syndrome,prostate cancer,multiple system atrophy,autoimmune polyendocrine syndrome type 1,attention deficit hyperactivity disorder,hirschsprung's disease,pelvic inflammatory disease,granulomatosis with polyangiitis,stomach cancer,myasthenia gravis,osteoarthritis,lung cancer,breast cancer,bronchiectasis,graves' disease,microscopic colitis,bronchiolitis,keratitis,chronic granulomatous disease,anovulation,cleft palate,silicosis,urolithiasis,endometriosis,cholestasis,tongue cancer,diarrhea,seborrheic dermatitis,generalized anxiety disorder,rosacea,familial mediterranean fever,fibromyalgia,collagenous colitis,pemphigus vulgaris,intrahepatic cholangiocarcinoma,osteoporosis,down syndrome,chronic mucocutaneous candidiasis,hyper ige syndrome,biliary atresia,alopecia universalis,hidradenitis suppurativa,huntington's disease,kaposi's sarcoma,wiskott-aldrich syndrome,hyperglycemia,biliary tract cancer,stevens-johnson syndrome,chronic urticaria,migraine,dry eye syndrome,covid-19
colon cancer,1.0,0.0367619429090039,0.0280132767810044,0.0280132767810044,0.0367619429090039,0.030793762291650005,0.0367619429090039,0.0498579928542293,0.0,0.0367619429090039,0.0247223103043003,0.0280132767810044,0.0367619429090039,0.10162667835797999,0.0498579928542293,0.0498579928542293,0.206873557102869,0.0280132767810044,0.8422711592810009,0.0280132767810044,0.0498579928542293,0.10162667835797999,0.0280132767810044,0.0280132767810044,0.0220824020542819,0.0220824020542819,0.42459201949587105,0.0280132767810044,0.0,0.0367619429090039,0.0280132767810044,0.0698989009481177,0.27148105361080704,0.0498579928542293,0.206873557102869,0.0220824020542819,0.0367619429090039,0.0220824020542819,0.0367619429090039,0.10162667835797999,0.0498579928542293,0.0280132767810044,0.0498579928542293,0.0367619429090039,0.0367619429090039,0.0180216412275933,0.0384437948047428,0.0367619429090039,0.0498579928542293,0.163074998260921,0.0367619429090039,0.0367619429090039,0.0367619429090039,0.0329997509894497,0.0367619429090039,0.10162667835797999,0.0498579928542293,0.0220824020542819,0.0498579928542293,0.0220824020542819,0.0367619429090039,0.0367619429090039,0.0280132767810044,0.0367619429090039,0.0280132767810044,0.0498579928542293,0.0367619429090039,0.0698989009481177,0.0218282503521771,0.0698989009481177,0.0498579928542293,0.0367619429090039,0.0280132767810044,0.0498579928542293,0.0218282503521771,0.0280132767810044,0.0,0.0280132767810044,0.0498579928542293,0.0367619429090039,0.0220824020542819,0.0,0.0367619429090039,0.206873557102869,0.0280132767810044,0.0220824020542819,0.0498579928542293,0.0280132767810044,0.0498579928542293,0.0294172117340766,0.42459201949587105,0.0218282503521771,0.0220824020542819,0.27148105361080704,0.27148105361080704,0.0367619429090039,0.0285246310395475,0.0280132767810044,0.0367619429090039,0.0220824020542819,0.0367619429090039,0.0367619429090039,0.0698989009481177,0.0220824020542819,0.0,0.0498579928542293,0.0280132767810044,0.323546929785103,0.0698989009481177,0.0367619429090039,0.0498579928542293,0.0498579928542293,0.0367619429090039,0.0220824020542819,0.0220824020542819,0.0,0.153423500561434,0.0220824020542819,0.0698989009481177,0.0280132767810044,0.0,0.0220824020542819,0.0280132767810044,0.0280132767810044,0.0285246310395475,0.206873557102869,0.0498579928542293,0.0367619429090039,0.42459201949587105,0.0498579928542293,0.0,0.0367619429090039,0.0220824020542819,0.0
obesity,0.0367619429090039,1.0,0.0476199206365212,0.0476199206365212,0.0571439257166366,0.0475288235576909,0.0571439257166366,0.0714299464323527,0.0,0.0571439257166366,0.0418146436354573,0.0476199206365212,0.0571439257166366,0.128249502550101,0.0714299464323527,0.0714299464323527,0.0476199206365212,0.0476199206365212,0.041172338956928005,0.0476199206365212,0.0714299464323527,0.128249502550101,0.0476199206365212,0.0476199206365212,0.041172338956928005,0.041172338956928005,0.0571439257166366,0.0476199206365212,0.0,0.0571439257166366,0.0476199206365212,0.0933602719681705,0.0571439257166366,0.0714299464323527,0.0476199206365212,0.041172338956928005,0.0571439257166366,0.041172338956928005,0.0571439257166366,0.128249502550101,0.0714299464323527,0.212831890191799,0.0714299464323527,0.0571439257166366,0.0571439257166366,0.0367619429090039,0.0545144690325174,0.0571439257166366,0.0714299464323527,0.041172338956928005,0.0571439257166366,0.0571439257166366,0.0571439257166366,0.0510669457973912,0.0571439257166366,0.128249502550101,0.0714299464323527,0.041172338956928005,0.0714299464323527,0.041172338956928005,0.0571439257166366,0.0571439257166366,0.0476199206365212,0.0571439257166366,0.0476199206365212,0.0714299464323527,0.0571439257166366,0.0933602719681705,0.0367574589715877,0.0933602719681705,0.0714299464323527,0.0571439257166366,0.0476199206365212,0.0714299464323527,0.0367574589715877,0.0476199206365212,0.0,0.0476199206365212,0.0714299464323527,0.0571439257166366,0.041172338956928005,0.0,0.0571439257166366,0.0476199206365212,0.0476199206365212,0.041172338956928005,0.0714299464323527,0.0476199206365212,0.0714299464323527,0.0453303557220572,0.0571439257166366,0.0367574589715877,0.041172338956928005,0.0571439257166366,0.0571439257166366,0.0571439257166366,0.0439086453554596,0.0476199206365212,0.0571439257166366,0.041172338956928005,0.0571439257166366,0.0571439257166366,0.0933602719681705,0.041172338956928005,0.0,0.0714299464323527,0.0476199206365212,0.0476199206365212,0.0933602719681705,0.0571439257166366,0.0714299464323527,0.0714299464323527,0.0571439257166366,0.041172338956928005,0.041172338956928005,0.0,0.0316202950567523,0.041172338956928005,0.0933602719681705,0.0476199206365212,0.0,0.041172338956928005,0.0476199206365212,0.0476199206365212,0.0439086453554596,0.0476199206365212,0.0714299464323527,0.25539836187639603,0.0571439257166366,0.0714299464323527,0.0,0.0571439257166366,0.041172338956928005,0.0
bacterial vaginosis,0.0280132767810044,0.0476199206365212,1.0,0.093408272931481,0.115648378688694,0.0965076580784755,0.0476199206365212,0.14897652042149404,0.0,0.115648378688694,0.0822137478602683,0.093408272931481,0.115648378688694,0.115768709113422,0.14897652042149404,0.0613432731147329,0.0384622300306098,0.093408272931481,0.0322586368373393,0.0384622300306098,0.0613432731147329,0.115768709113422,0.093408272931481,0.093408272931481,0.078342403747824,0.078342403747824,0.0476199206365212,0.093408272931481,0.0,0.115648378688694,0.093408272931481,0.0823790970344355,0.0476199206365212,0.0613432731147329,0.0384622300306098,0.078342403747824,0.115648378688694,0.078342403747824,0.115648378688694,0.115768709113422,0.0613432731147329,0.0384622300306098,0.14897652042149404,0.115648378688694,0.115648378688694,0.0680322436110106,0.114242844100718,0.115648378688694,0.14897652042149404,0.0322586368373393,0.115648378688694,0.115648378688694,0.115648378688694,0.103565692421286,0.115648378688694,0.115768709113422,0.0613432731147329,0.078342403747824,0.0613432731147329,0.078342403747824,0.115648378688694,0.115648378688694,0.093408272931481,0.0476199206365212,0.093408272931481,0.14897652042149404,0.115648378688694,0.20006352136934302,0.0724188282515526,0.0823790970344355,0.0613432731147329,0.115648378688694,0.284037401363075,0.14897652042149404,0.0724188282515526,0.093408272931481,0.0,0.093408272931481,0.14897652042149404,0.212831890191799,0.078342403747824,0.0,0.115648378688694,0.0384622300306098,0.093408272931481,0.078342403747824,0.0613432731147329,0.093408272931481,0.453010235567401,0.0921133696066727,0.0476199206365212,0.0724188282515526,0.078342403747824,0.0476199206365212,0.0476199206365212,0.115648378688694,0.0892681146452845,0.093408272931481,0.115648378688694,0.078342403747824,0.115648378688694,0.351665478053376,0.0823790970344355,0.078342403747824,0.0,0.453010235567401,0.093408272931481,0.0384622300306098,0.20006352136934302,0.115648378688694,0.0613432731147329,0.14897652042149404,0.115648378688694,0.078342403747824,0.078342403747824,0.0,0.023062117726601005,0.078342403747824,0.0823790970344355,0.0384622300306098,0.0,0.078342403747824,0.093408272931481,0.093408272931481,0.0892681146452845,0.0384622300306098,0.0613432731147329,0.0476199206365212,0.0476199206365212,0.14897652042149404,0.0,0.115648378688694,0.078342403747824,0.0
ulcerative colitis,0.0280132767810044,0.0476199206365212,0.093408272931481,1.0,0.115648378688694,0.0965076580784755,0.0476199206365212,0.14897652042149404,0.0,0.212831890191799,0.0822137478602683,0.093408272931481,0.549999174998487,0.115768709113422,0.453010235567401,0.0613432731147329,0.0384622300306098,0.093408272931481,0.0322586368373393,0.0384622300306098,0.0613432731147329,0.115768709113422,0.093408272931481,0.093408272931481,0.078342403747824,0.144176356477088,0.0476199206365212,0.093408272931481,0.0,0.115648378688694,0.093408272931481,0.0823790970344355,0.0476199206365212,0.0613432731147329,0.0384622300306098,0.078342403747824,0.212831890191799,0.078342403747824,0.115648378688694,0.115768709113422,0.0613432731147329,0.0384622300306098,0.274166873716867,0.115648378688694,0.115648378688694,0.0680322436110106,0.114242844100718,0.212831890191799,0.274166873716867,0.0322586368373393,0.115648378688694,0.115648378688694,0.351665478053376,0.314924248383094,0.212831890191799,0.115768709113422,0.0613432731147329,0.078342403747824,0.0613432731147329,0.144176356477088,0.212831890191799,0.115648378688694,0.171902619932726,0.0476199206365212,0.093408272931481,0.14897652042149404,0.115648378688694,0.368184127562069,0.133274986446135,0.0823790970344355,0.0613432731147329,0.212831890191799,0.093408272931481,0.14897652042149404,0.0724188282515526,0.093408272931481,0.0,0.171902619932726,0.14897652042149404,0.115648378688694,0.078342403747824,0.0,0.115648378688694,0.0384622300306098,0.093408272931481,0.078342403747824,0.0613432731147329,0.284037401363075,0.14897652042149404,0.0921133696066727,0.0476199206365212,0.0724188282515526,0.078342403747824,0.0476199206365212,0.0476199206365212,0.115648378688694,0.0892681146452845,0.6730764389785729,0.115648378688694,0.078342403747824,0.115648378688694,0.115648378688694,0.0823790970344355,0.078342403747824,0.0,0.14897652042149404,0.171902619932726,0.0384622300306098,0.368184127562069,0.115648378688694,0.0613432731147329,0.14897652042149404,0.115648378688694,0.078342403747824,0.5645155881887141,0.0,0.023062117726601005,0.078342403747824,0.0823790970344355,0.0384622300306098,0.0,0.144176356477088,0.093408272931481,0.093408272931481,0.0892681146452845,0.0384622300306098,0.0613432731147329,0.0476199206365212,0.0476199206365212,0.14897652042149404,0.0,0.115648378688694,0.078342403747824,0.0
atopic dermatitis,0.0367619429090039,0.0571439257166366,0.115648378688694,0.115648378688694,1.0,0.115427142925821,0.0571439257166366,0.527498700621427,0.0,0.138778105311832,0.10154984882896799,0.115648378688694,0.138778105311832,0.128249502550101,0.17347272704999897,0.0714299464323527,0.0476199206365212,0.115648378688694,0.041172338956928005,0.0476199206365212,0.0714299464323527,0.128249502550101,0.115648378688694,0.115648378688694,0.0999899660382537,0.0999899660382537,0.0571439257166366,0.115648378688694,0.0,0.138778105311832,0.115648378688694,0.0933602719681705,0.0571439257166366,0.0714299464323527,0.0476199206365212,0.0999899660382537,0.138778105311832,0.0999899660382537,0.138778105311832,0.128249502550101,0.0714299464323527,0.0476199206365212,0.17347272704999897,0.138778105311832,0.138778105311832,0.0892790042075809,0.132392281936114,0.138778105311832,0.17347272704999897,0.041172338956928005,0.42199872839720204,0.138778105311832,0.138778105311832,0.12401972550795,0.138778105311832,0.128249502550101,0.0714299464323527,0.0999899660382537,0.0714299464323527,0.0999899660382537,0.138778105311832,0.138778105311832,0.115648378688694,0.0571439257166366,0.115648378688694,0.17347272704999897,0.138778105311832,0.226732089065557,0.0892681146452845,0.0933602719681705,0.0714299464323527,0.138778105311832,0.115648378688694,0.17347272704999897,0.42454023104585603,0.115648378688694,0.0,0.115648378688694,0.17347272704999897,0.138778105311832,0.0999899660382537,0.0,0.138778105311832,0.0476199206365212,0.115648378688694,0.0999899660382537,0.0714299464323527,0.115648378688694,0.17347272704999897,0.11008800675356802,0.0571439257166366,0.0892681146452845,0.0999899660382537,0.0571439257166366,0.0571439257166366,0.138778105311832,0.106635281577545,0.115648378688694,0.138778105311832,0.0999899660382537,0.138778105311832,0.138778105311832,0.0933602719681705,0.0999899660382537,0.0,0.17347272704999897,0.115648378688694,0.0476199206365212,0.226732089065557,0.659999251998354,0.0714299464323527,0.527498700621427,0.138778105311832,0.0999899660382537,0.0999899660382537,0.0,0.0316202950567523,0.0999899660382537,0.0933602719681705,0.0476199206365212,0.0,0.0999899660382537,0.212831890191799,0.351665478053376,0.106635281577545,0.0476199206365212,0.0714299464323527,0.0571439257166366,0.0571439257166366,0.527498700621427,0.0,0.138778105311832,0.0999899660382537,0.0
asthma,0.030793762291650005,0.0475288235576909,0.0965076580784755,0.0965076580784755,0.115427142925821,1.0,0.0475288235576909,0.143573469751328,0.0,0.115427142925821,0.8753581738676199,0.0965076580784755,0.115427142925821,0.10410572726251599,0.143573469751328,0.0591184875446644,0.0397384474440781,0.624477867768643,0.034435159297279,0.0397384474440781,0.0591184875446644,0.10410572726251599,0.0965076580784755,0.0965076580784755,0.0836282440076777,0.0836282440076777,0.0475288235576909,0.0965076580784755,0.0,0.115427142925821,0.0965076580784755,0.0766892201129323,0.0475288235576909,0.0591184875446644,0.0397384474440781,0.0836282440076777,0.115427142925821,0.0836282440076777,0.115427142925821,0.10410572726251599,0.0591184875446644,0.0397384474440781,0.143573469751328,0.519253882024903,0.115427142925821,0.0747848512797213,0.114236225953255,0.115427142925821,0.143573469751328,0.034435159297279,0.115427142925821,0.115427142925821,0.115427142925821,0.105031431975441,0.115427142925821,0.10410572726251599,0.0591184875446644,0.3688416772074001,0.0591184875446644,0.0836282440076777,0.115427142925821,0.115427142925821,0.0965076580784755,0.0475288235576909,0.0965076580784755,0.143573469751328,0.115427142925821,0.186245248845693,0.0774162791421573,0.0766892201129323,0.0591184875446644,0.115427142925821,0.0965076580784755,0.143573469751328,0.0774162791421573,0.0965076580784755,0.0,0.0965076580784755,0.143573469751328,0.115427142925821,0.0836282440076777,0.0,0.115427142925821,0.0397384474440781,0.0965076580784755,0.0836282440076777,0.0591184875446644,0.0965076580784755,0.143573469751328,0.0948643516700095,0.0475288235576909,0.0774162791421573,0.0836282440076777,0.0475288235576909,0.0475288235576909,0.5489470246057171,0.0922893603936039,0.0965076580784755,0.519253882024903,0.0836282440076777,0.115427142925821,0.115427142925821,0.0766892201129323,0.3688416772074001,0.0,0.143573469751328,0.0965076580784755,0.0397384474440781,0.186245248845693,0.115427142925821,0.0591184875446644,0.143573469751328,0.115427142925821,0.0836282440076777,0.0836282440076777,0.0,0.0265344423877448,0.0836282440076777,0.0766892201129323,0.0397384474440781,0.0,0.0836282440076777,0.0965076580784755,0.0965076580784755,0.0922893603936039,0.0397384474440781,0.0591184875446644,0.0475288235576909,0.0475288235576909,0.143573469751328,0.0,0.115427142925821,0.0836282440076777,0.0
cystic fibrosis,0.0367619429090039,0.0571439257166366,0.0476199206365212,0.0476199206365212,0.0571439257166366,0.0475288235576909,1.0,0.0714299464323527,0.0,0.0571439257166366,0.0418146436354573,0.0476199206365212,0.0571439257166366,0.128249502550101,0.0714299464323527,0.0714299464323527,0.0476199206365212,0.0476199206365212,0.041172338956928005,0.0476199206365212,0.0714299464323527,0.128249502550101,0.0476199206365212,0.0476199206365212,0.041172338956928005,0.041172338956928005,0.0571439257166366,0.0476199206365212,0.0,0.0571439257166366,0.0476199206365212,0.0933602719681705,0.0571439257166366,0.0714299464323527,0.0476199206365212,0.041172338956928005,0.0571439257166366,0.041172338956928005,0.0571439257166366,0.128249502550101,0.0714299464323527,0.0476199206365212,0.0714299464323527,0.0571439257166366,0.0571439257166366,0.0367619429090039,0.0545144690325174,0.0571439257166366,0.0714299464323527,0.041172338956928005,0.0571439257166366,0.0571439257166366,0.0571439257166366,0.0510669457973912,0.0571439257166366,0.128249502550101,0.0714299464323527,0.041172338956928005,0.0714299464323527,0.041172338956928005,0.0571439257166366,0.0571439257166366,0.0476199206365212,0.0571439257166366,0.0476199206365212,0.0714299464323527,0.0571439257166366,0.0933602719681705,0.0367574589715877,0.0933602719681705,0.0714299464323527,0.0571439257166366,0.0476199206365212,0.0714299464323527,0.0367574589715877,0.0476199206365212,0.0,0.0476199206365212,0.0714299464323527,0.0571439257166366,0.041172338956928005,0.0,0.0571439257166366,0.0476199206365212,0.0476199206365212,0.041172338956928005,0.0714299464323527,0.0476199206365212,0.0714299464323527,0.0453303557220572,0.0571439257166366,0.0367574589715877,0.041172338956928005,0.0571439257166366,0.0571439257166366,0.0571439257166366,0.0439086453554596,0.0476199206365212,0.0571439257166366,0.041172338956928005,0.0571439257166366,0.0571439257166366,0.0933602719681705,0.041172338956928005,0.0,0.0714299464323527,0.0476199206365212,0.0476199206365212,0.0933602719681705,0.0571439257166366,0.0714299464323527,0.0714299464323527,0.0571439257166366,0.041172338956928005,0.041172338956928005,0.0,0.0316202950567523,0.041172338956928005,0.226732089065557,0.0476199206365212,0.0,0.041172338956928005,0.0476199206365212,0.0476199206365212,0.324258305205187,0.0476199206365212,0.31924812793235197,0.0571439257166366,0.0571439257166366,0.0714299464323527,0.0,0.0571439257166366,0.041172338956928005,0.0
psoriasis,0.0498579928542293,0.0714299464323527,0.14897652042149404,0.14897652042149404,0.527498700621427,0.143573469751328,0.0714299464323527,1.0,0.0,0.17347272704999897,0.130357023093604,0.14897652042149404,0.17347272704999897,0.14710563962039902,0.21027009483971,0.0865818037575277,0.0613432731147329,0.14897652042149404,0.0545213728963117,0.0613432731147329,0.0865818037575277,0.14710563962039902,0.14897652042149404,0.14897652042149404,0.13240904846247098,0.13240904846247098,0.0714299464323527,0.14897652042149404,0.0,0.17347272704999897,0.14897652042149404,0.10989238800625699,0.0714299464323527,0.0865818037575277,0.0613432731147329,0.13240904846247098,0.17347272704999897,0.13240904846247098,0.17347272704999897,0.14710563962039902,0.0865818037575277,0.0613432731147329,0.21027009483971,0.17347272704999897,0.17347272704999897,0.1210836969317,0.159332176574263,0.17347272704999897,0.21027009483971,0.0545213728963117,0.527498700621427,0.17347272704999897,0.17347272704999897,0.15454135856457502,0.17347272704999897,0.14710563962039902,0.0865818037575277,0.13240904846247098,0.0865818037575277,0.13240904846247098,0.17347272704999897,0.17347272704999897,0.14897652042149404,0.0714299464323527,0.14897652042149404,0.21027009483971,0.17347272704999897,0.26688151372948105,0.114242844100718,0.10989238800625699,0.0865818037575277,0.17347272704999897,0.14897652042149404,0.21027009483971,0.347391505530755,0.14897652042149404,0.0,0.14897652042149404,0.21027009483971,0.17347272704999897,0.13240904846247098,0.0,0.17347272704999897,0.0613432731147329,0.14897652042149404,0.13240904846247098,0.0865818037575277,0.14897652042149404,0.21027009483971,0.13677840069433,0.0714299464323527,0.114242844100718,0.13240904846247098,0.0714299464323527,0.0714299464323527,0.17347272704999897,0.132392281936114,0.14897652042149404,0.17347272704999897,0.13240904846247098,0.17347272704999897,0.17347272704999897,0.10989238800625699,0.13240904846247098,0.0,0.21027009483971,0.14897652042149404,0.0613432731147329,0.26688151372948105,0.527498700621427,0.0865818037575277,0.639392737369731,0.17347272704999897,0.13240904846247098,0.13240904846247098,0.0,0.0444245555713213,0.13240904846247098,0.10989238800625699,0.0613432731147329,0.0,0.13240904846247098,0.274166873716867,0.453010235567401,0.132392281936114,0.0613432731147329,0.0865818037575277,0.0714299464323527,0.0714299464323527,0.639392737369731,0.0,0.17347272704999897,0.13240904846247098,0.0
colorectal carcinoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liver cirrhosis,0.0367619429090039,0.0571439257166366,0.115648378688694,0.212831890191799,0.138778105311832,0.115427142925821,0.0571439257166366,0.17347272704999897,0.0,1.0,0.10154984882896799,0.115648378688694,0.25539836187639603,0.128249502550101,0.31924812793235197,0.0714299464323527,0.0476199206365212,0.115648378688694,0.041172338956928005,0.0476199206365212,0.0714299464323527,0.128249502550101,0.115648378688694,0.115648378688694,0.0999899660382537,0.18401514758300502,0.0571439257166366,0.115648378688694,0.0,0.138778105311832,0.115648378688694,0.0933602719681705,0.0571439257166366,0.0714299464323527,0.0476199206365212,0.0999899660382537,0.25539836187639603,0.0999899660382537,0.138778105311832,0.128249502550101,0.0714299464323527,0.0476199206365212,0.31924812793235197,0.138778105311832,0.138778105311832,0.0892790042075809,0.132392281936114,0.25539836187639603,0.31924812793235197,0.041172338956928005,0.138778105311832,0.138778105311832,0.25539836187639603,0.22823798223732003,0.25539836187639603,0.128249502550101,0.0714299464323527,0.0999899660382537,0.0714299464323527,0.18401514758300502,0.25539836187639603,0.138778105311832,0.212831890191799,0.0571439257166366,0.115648378688694,0.17347272704999897,0.138778105311832,0.4172632563475379,0.6432435033228101,0.0933602719681705,0.0714299464323527,0.25539836187639603,0.115648378688694,0.17347272704999897,0.0892681146452845,0.115648378688694,0.0,0.549999174998487,0.17347272704999897,0.138778105311832,0.0999899660382537,0.0,0.138778105311832,0.0476199206365212,0.115648378688694,0.0999899660382537,0.0714299464323527,0.212831890191799,0.17347272704999897,0.11008800675356802,0.0571439257166366,0.0892681146452845,0.0999899660382537,0.0571439257166366,0.0571439257166366,0.138778105311832,0.106635281577545,0.212831890191799,0.138778105311832,0.0999899660382537,0.138778105311832,0.138778105311832,0.0933602719681705,0.0999899660382537,0.0,0.17347272704999897,0.351665478053376,0.0476199206365212,0.4172632563475379,0.138778105311832,0.0714299464323527,0.17347272704999897,0.138778105311832,0.0999899660382537,0.18401514758300502,0.0,0.0316202950567523,0.0999899660382537,0.0933602719681705,0.0476199206365212,0.0,0.30405112121836303,0.115648378688694,0.115648378688694,0.106635281577545,0.0476199206365212,0.0714299464323527,0.0571439257166366,0.0571439257166366,0.17347272704999897,0.0,0.138778105311832,0.0999899660382537,0.0
